1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,mean_daily,median_daily,day_nbr
42.61076305654086,42.043569797488416,46.471648667884665,43.78616811340725,52.07898115304566,43.68503174867645,46.57363352598595,45.79557569938101,33.88495547095234,33.98366770649641,42.84597389414154,46.74322722190172,55.8874836152174,28.81174041303617,30.909356637847424,25.344355400260614,27.97314292153314,33.2977865013469,29.155394674620606,39.39404475152435,28.136458151748364,11.005536876716127,29.4328722319228,32.63457576776129,15.127803711989952,8.754627467107639,22.83724722168984,21.779305044442367,33.530489419836634,34.293635064293234,33.530489419836634,1
41.76656608665419,41.66231601129141,45.42789877021431,45.706398179350884,51.593474402178146,44.58724120229873,46.78574049586299,46.41486317683237,32.91365881705963,32.884298634994714,42.35545034194956,47.023090384287556,56.53715986828608,29.267494999089866,30.882300197147092,26.0822316242436,27.43347802344384,34.49984156962605,28.251151148355355,38.527942976622604,27.808628628609345,10.22319998536084,29.581336420398124,30.128328602894506,13.818892412774206,9.438933036440911,23.58361126868539,22.7957365375114,34.57988791412207,34.22624661091675,32.91365881705963,2
39.729685036564184,42.24360235035552,44.72706443445171,47.44743337978698,51.51193428558495,46.62190807956382,46.06495067470151,46.95348888724091,31.26301464590089,31.602751006201412,40.90966386756954,47.56766999482813,56.85962298386514,31.05849885053707,31.860022671434663,26.31010169400112,26.04457527657898,35.55841457906157,28.254466147425962,38.71291549449057,25.98751626439477,9.466915018717897,29.34485525049816,28.569282228542313,12.47050642822815,10.28921777771785,24.12421808109516,23.597106261996643,35.34378716974008,34.155006511071576,31.860022671434663,3
38.42833409257919,43.15886377010356,44.231239002572444,48.826406539081255,52.4026510361539,49.026473763641135,45.542706376027986,47.365895189398934,28.610541542948113,30.786778720441173,39.535630461393545,48.40862997695295,57.07143139194326,33.11744458066995,32.83481538768249,26.470008504195754,24.91664443504884,36.57663359051382,29.296713605075933,39.492591333425146,24.33800759117451,8.961499011375203,28.824781785033576,28.274795316624786,12.385063819992274,11.552207382951735,24.672252340580034,23.884957397157496,35.60264699112308,34.2964360322711,33.11744458066995,4
38.52782740431335,43.8781704132962,44.26257739733085,49.15463863909753,53.64685532562016,50.667778729109095,44.17368880807388,47.68291195990411,26.423250837176912,30.02878232051861,37.98605909019552,49.0139736552921,56.73216695190554,34.2362558038969,33.13009782232876,26.420057189031027,24.7725508060687,37.814958138746476,30.028745722620677,39.98564977160022,23.388009950775825,8.251168484201745,28.59079697701363,29.31281764326873,12.689328149273193,12.538422495764754,25.085713240060056,23.90416455185392,35.87152404241118,34.42065318347412,34.2362558038969,5
38.87538319443789,44.346274863696905,44.18922750505388,48.812067867912404,54.448798096138816,51.69064278429102,42.198451138435395,48.26874992174791,24.429065087435266,29.79301288342317,36.485862135718484,48.82625822128437,55.52773302026078,35.62836568234373,32.649286196524926,26.360086717756044,25.008865359222813,39.06450668441343,30.74815541778908,40.34699333821947,22.69934826848603,8.019984378476197,28.419864568515596,30.185113130844222,13.802644872297412,13.125094504440384,25.471507091805822,23.697932507697594,35.80669182932666,34.445723009241235,35.62836568234373,6
39.861754329868404,44.911772099110955,44.40211266181326,48.011219181921405,54.600079359652355,51.84767858570312,41.03379623253533,48.47200405273564,22.846520936405373,30.38068362947132,34.564218235191575,47.51532248045142,54.306111560023915,35.857208485704184,31.320722789222106,26.4122425747199,25.448378183415176,39.97892250009871,31.17323614986261,40.01325903317984,23.015532918364535,7.670706560943685,28.46414995121885,30.360320751682295,15.491983615698956,13.848922914232825,25.151853346444366,23.80898690276805,35.61616991440907,34.35813344609825,34.564218235191575,7
40.81014840447611,44.7081943656573,44.694044462593574,46.72378218086873,54.47777785268575,51.670418593273105,41.291725696828784,48.521937068951395,21.145650965847416,31.617667538916564,30.76601037646716,47.12969813475923,53.487203737608475,35.14296390965712,30.30405244671394,26.239851065817465,25.316783699681498,40.6247222652943,31.412799248009502,39.150591682068274,23.894691474904914,7.278950141142682,28.865979460874435,29.580699809594616,17.36537318780211,14.58932150386541,24.987178215390184,24.072537033701845,34.40069112240937,34.14729122916763,31.617667538916564,8
41.754355872180874,44.49863191278913,44.92441570974399,45.669769462136095,53.79648775752158,50.124714078922395,41.70905152695097,48.4239895368536,21.633373815744992,33.285233422356114,28.498072350191798,46.765581795820324,53.09103823420921,34.71355017908892,27.98966109383412,25.681288168959007,25.450479673238554,40.860318343925854,30.78128133093071,38.515368709375124,24.899822885436055,7.235479543219709,28.94826501886236,28.432580411841922,18.53533767821009,14.823688663608493,24.88407615829939,24.015104337717695,33.2179587811359,33.902033670796726,33.2179587811359,9
42.582931318265906,44.74483271389786,45.66956913680005,45.34175502330226,53.19464110464013,48.80071866714307,42.338290743332195,48.41016131005065,22.98449790091793,34.553896664872084,27.22961232231961,47.31733074194533,53.54354716457785,34.228345842430635,26.569197475515523,24.19380802091088,26.01014724875302,40.264675997846496,30.68703789134469,38.26235299443037,25.476121316253028,7.935210163428875,28.421588522128722,27.99292986398102,19.261883963475295,15.269595525810665,24.913613551238498,23.48375968279253,33.24965545005301,33.894196838705454,33.24965545005301,10
