1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,mean_daily,median_daily,day_nbr
47.980467667173116,47.51442862706981,54.814177038412005,50.47229366747488,60.900468088242,50.27001393036222,53.76756997638505,54.07866794858749,35.65260939895926,34.595637024586914,47.852738175859415,56.10972353318899,67.26641554586317,27.463591577218768,30.608067328914448,21.7868058065399,27.33316022723684,35.40417349441557,28.389504507191504,42.7446585657692,26.856475162199242,9.946699697181295,29.04585791030531,33.13769829712726,11.959233514275988,7.889251865861489,20.987476709627387,16.884862222752457,35.24609721778735,36.79168361126098,35.24609721778735,1
47.3115822014183,46.9343922046114,52.888990452263066,53.33399710164252,60.02639926453301,51.56567797353582,54.13190509107368,54.94934190442438,34.678605139145716,33.23277740544371,47.34905031422265,56.571972953342055,68.27382284930295,28.145460000210534,30.424726919284602,22.794388555347748,26.649449627880372,36.791770910456194,27.683417605591792,41.5317187680928,26.22680173620736,9.399134703444693,29.21165378312847,29.431376298734335,10.416016056760085,8.342251806210063,22.03699090140321,17.811915547617627,36.82107028692335,36.722988219388014,34.678605139145716,2
44.2385144689795,47.78685844015032,51.17034692567081,55.97470955019316,59.851748663983514,54.47810792697261,53.19347413408938,55.756981848422214,32.832779510788136,31.591570200955122,45.058870693254825,57.45726501724627,68.79071999270147,30.829139019400746,31.335400664587052,23.139840485071353,24.429013049626473,38.21467670682026,27.859803360831467,41.81884563965627,23.724950787574254,8.807006586219117,29.06392878321619,26.899197863777196,8.817708753671194,9.00701430581531,22.73877237367056,18.724933243037448,37.68215615339539,36.59566672930268,32.832779510788136,3
42.28917081010144,49.244132229665,50.2534167985431,57.93935204516665,61.13921589956103,58.17126625939948,52.562341002635186,56.38070592198295,29.528704616669412,30.69364080718905,43.254172968079466,58.76546112306088,69.19736375789942,33.71872598591524,32.6571253627333,23.583892711648517,22.52367635242062,39.414554596844084,29.615671131166465,43.02959412468551,21.869265129531314,8.258213474906048,28.507240630340117,26.49356817280667,8.394709971262047,10.073897589029752,23.366515900613706,19.091263171561007,37.88532188961679,36.82421311844946,33.71872598591524,4
42.29474120053756,50.4838537627768,49.98175719062841,58.38919396889002,63.164894083631296,60.59355799697531,50.55139672057518,56.91491250539494,27.333802357283965,29.79693953099944,41.099816133254265,59.71712767861215,69.0370645884578,35.27001393036222,33.22012954885978,23.721617325580986,21.932425462035376,41.08858061188326,30.595744046261434,43.69225127987396,20.996950759502997,7.27782475814856,28.496889353624173,27.71446792683226,8.220668166139745,10.971651537427759,24.06075322205418,19.417591556165323,38.57341862317492,37.05551847675669,35.27001393036222,5
42.68481941408265,51.48341514935664,49.78211966075883,57.827882830565386,64.52555712676629,62.13658948240107,47.515567267508565,57.85889455382488,25.30917158206106,29.987648646088093,39.0421735575759,59.50374575860822,67.44916645905631,37.24491822491394,32.8280091512304,23.7707420286397,22.138749214881976,42.75468351410054,31.549793149911046,43.909361413949306,20.395173147033745,7.15518844586984,28.447764650565457,28.67884374484629,9.21351350402998,11.28341795648253,24.73446343543084,19.35250132461253,38.65745695447894,37.145563149987275,37.24491822491394,6
43.841130710308114,52.11465705693904,50.08366112376267,56.62686454564913,64.85293818357901,62.47677805108267,45.97451480583461,58.199241023337734,23.52559397029359,30.87154241040882,36.48709248427132,57.1622887199155,65.83492520763959,37.48415728326356,31.421235556460072,24.011277628259336,22.695788258494186,43.917121362578904,32.08211895897736,43.245186656327085,21.047479025506245,7.061149728586015,28.50759152107625,28.887097396741627,10.826031881932284,11.880809434750113,24.297078132840213,19.89480295730712,38.478151788314634,37.02718296084265,36.48709248427132,7
45.20821505391436,51.667934551859894,50.54627020692026,54.7421444336448,64.80675219043542,62.28379867293123,46.61888178140209,58.24529894136264,21.660330749607876,32.857934867661555,31.002568520188497,56.68961258153823,64.59562298895746,36.4287656716575,30.6917389793992,23.72126643484485,22.347353757513446,44.56499724550772,32.44219075122197,41.859084034822395,22.439638021116604,7.313089277129994,29.33323742319879,27.943903098014307,12.959096666888897,12.33749372782809,24.003031695960193,20.461666941531075,37.273543891167726,36.79467114338714,32.857934867661555,8
46.52069729007084,51.05447929569211,51.0981423844429,53.28959889679952,63.88606402352371,59.693502205348274,47.36267189259936,57.992840074529184,22.60865682535115,34.86292453392938,28.20026386983357,56.15238307443445,63.87810406717452,35.876225047282524,28.061726943846953,23.0528195825102,22.584380449771743,44.763482099309094,31.913089628020728,41.02098151156711,23.917589801711642,7.2887023709687035,29.802527465972368,26.45270168322286,14.573544943839936,12.325563442799545,23.826007319580754,20.727993010256533,36.12802950289309,36.51433424956147,34.86292453392938,9
47.74920610970949,51.249399099614365,52.54450873542487,52.733512521535914,62.95927386671064,57.513140858068205,48.37833916396773,58.071715048650994,24.19823923028608,36.47158311373421,26.99026629097965,57.09748446431265,64.34573088785882,35.382290193656594,26.5013158402605,21.04397011814491,23.222650698798898,44.201179694654876,31.70918702125345,40.92290755081775,24.86867914200197,7.950657744684882,29.764148791707747,25.774517612960498,15.629375168866165,12.584696251434265,23.773900045264902,20.486580183796566,36.07988904834923,36.5585636033623,35.382290193656594,10
